,Beta-neutral,Beta-neutral,Beta-neutral,Beta-neutral,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW)
,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
date,,,,,,,,,,,,,,
2014-06-30,0.5997446417393208,0.34777619114683395,1.8186285499191117,0.1786744865313599,0.5444116307409139,0.15616613527899165,0.03529395623821406,1.8980974592661928,0.3295323245383417,0.2,0.2,0.2,0.2,0.2
2014-07-31,0.7656231915989333,0.19321737236737443,1.801205258237907,0.331244147097543,0.6533800599908708,0.12562694157468873,-0.1548597866556519,1.7404543720665366,0.4267271571662898,0.2,0.2,0.2,0.2,0.2
2014-08-31,0.664761569017678,0.5060781238861548,1.710300830608022,0.2961416328540155,0.7401407496687503,-0.0840826938529625,-0.0762066788661365,1.4950363196005998,0.39231141488045457,0.2,0.2,0.2,0.2,0.2
2014-09-30,0.8161689521150657,0.12856434667719546,1.7442693809637437,0.6247107055383132,0.7676355374892353,-0.08402558788786908,-0.2759199118845802,1.419633796428675,0.5207138011558627,0.2,0.2,0.2,0.2,0.2
2014-10-31,0.6964090274032322,0.04613096543061104,1.7671715718656071,0.8155904709344611,0.7703983328623756,-0.14097307194732858,-0.31225972236751665,1.4384286194502078,0.6241676405590451,0.2,0.2,0.2,0.2,0.2
2014-11-30,0.8112524504192908,-0.014041758061965854,1.7539567192994343,0.7226992613514222,0.7760183143897514,-0.11036242002623406,-0.33890891662769057,1.4107600521712573,0.5780120824503681,0.2,0.2,0.2,0.2,0.2
2014-12-31,0.5392731588449835,0.49811026233038297,1.7799484977472222,0.31670880128180284,0.7843814297455783,-0.23831588990257235,-0.15029627306796658,1.3265635760883616,0.38712898928360634,0.2,0.2,0.2,0.2,0.2
2015-01-31,0.8127862216608701,0.04153118198565158,1.009719621465132,1.5515312054288715,0.820457191112964,-0.3161638363029879,-0.32457382271509894,0.8862353027219673,0.5234476205606277,0.2,0.2,0.2,0.2,0.2
2015-02-28,0.22312030121360413,-0.815364847460377,-1.4015049522594563,1.7450116437678502,0.8141515403195654,-0.3820113787036577,-0.4978417976641691,0.4603866938958512,0.6511054213404605,0.2,0.2,0.2,0.2,0.2
2015-03-31,0.9047806727656925,-0.5475364460795574,1.218637774004059,1.4996382072617123,0.8150210346577627,-0.28254209656039453,-0.4206087009160591,0.9424178580044059,0.5772669354347891,0.2,0.2,0.2,0.2,0.2
2015-04-30,1.1447052735400056,-0.7722997648124749,0.9190440938143435,1.0769246356055437,0.8113882460202457,-0.21133802277349228,-0.4675963186446991,0.9061858247043691,0.5013851196621042,0.2,0.2,0.2,0.2,0.2
2015-05-31,0.16055265952310244,-0.7580520880055468,-1.672895926404409,1.2685233066292112,0.7663687732466963,-0.31293597349804564,-0.6013856412919971,0.10273012146199234,0.7749622587323596,0.2,0.2,0.2,0.2,0.2
2015-06-30,0.9458379854375037,-0.5117455034416558,1.3969636729730428,1.1163190501822786,0.7979905945134894,-0.15450421856466245,-0.46679806931219225,1.0705367115152262,0.5953377723693022,0.2,0.2,0.2,0.2,0.2
2015-07-31,0.875154078108148,-0.2322871541525897,1.703337254043123,0.6960353338175227,0.6492103400529624,0.22703801205265337,-0.42918279062455145,1.6326482383818515,0.6816138557854774,0.2,0.2,0.2,0.2,0.2
2015-08-31,0.7399975878016372,-0.37721572027236794,1.696215076294945,0.7065111864739255,0.635703227840457,0.18313795082083423,-0.5147284302687415,1.6526805720578646,0.7171585676314111,0.2,0.2,0.2,0.2,0.2
2015-09-30,0.7537677328917531,-0.367424202284033,1.7254899737706884,0.6980655558321052,0.6005984945631674,0.2468745557127966,-0.4963380847366727,1.7424782410496635,0.7342212239025253,0.2,0.2,0.2,0.2,0.2
2015-10-31,0.7060970620655455,-0.3691933836068083,1.7409351742141,0.7039873833967335,0.5945223653946096,0.21960353308167363,-0.4950639761847285,1.7643085251419655,0.7373394423222756,0.2,0.2,0.2,0.2,0.2
2015-11-30,0.693301513515765,-0.4076354350921869,1.7118573442591722,0.8459701510222015,0.5923195005225768,0.22893183001171627,-0.5202305103517625,1.7258314254612086,0.8221508385433676,0.2,0.2,0.2,0.2,0.2
2015-12-31,0.5036152040184865,-1.1854204418982304,-0.7290555284635427,1.8943931449750298,0.6106183136900388,0.09002337488987616,-1.0082729536158626,0.1261079009061945,1.4437814338151895,0.2,0.2,0.2,0.2,0.2
2016-01-31,0.4851110662459601,-0.2550151929234345,0.9306578437435448,-1.6539878002883803,0.7560673871749268,-0.15068193704409322,-0.3963935826134268,0.9741517069809872,-0.1325238413178282,0.2,0.2,0.2,0.2,0.2
2016-02-29,0.17509463738092784,-0.3548815338931449,1.6004936340182583,0.9893466778659313,0.643738321944487,-0.15543945322365432,-0.4791650231425482,1.536751173747221,0.855383125796395,0.2,0.2,0.2,0.2,0.2
2016-03-31,0.5247628545230472,-0.8604896739406659,1.0345568963117524,1.5975197927168008,0.6794078821812725,-0.017978797640411597,-0.711311150664474,1.1510481989646186,1.0734805334585131,0.2,0.2,0.2,0.2,0.2
2016-04-30,-0.2823384012430029,-0.5397101409167873,0.8295634123363547,1.6988351264494335,0.6677292725190257,-0.42866594436252053,-0.5645617026110343,1.034664713820713,1.1561393669150384,0.2,0.2,0.2,0.2,0.2
